transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,account_age_days,customer_avg_amount,customer_transaction_count
TX00659,C0303,2026-01-03 00:08:00,672.76,BANK_TRANSFER,Electronics,Jaipur,2016,1221.65,13
TX01167,C0255,2026-01-03 00:33:00,2632.62,ATM,Restaurant,Bengaluru,31,2259.67,2
TX01336,C0098,2026-01-03 01:07:00,406.53,CARD,Travel,Bengaluru,1025,1626.66,8
TX00242,C0233,2026-01-03 02:41:00,245.38,CARD,Pharmacy,Dehradun,713,2452.85,8
TX00897,C0153,2026-01-03 02:49:00,2524.35,BANK_TRANSFER,Restaurant,Hyderabad,2176,1566.98,7
TX01230,C0222,2026-01-03 03:39:00,1139.31,BANK_TRANSFER,Electronics,Delhi,1002,979.34,6
TX01882,C0448,2026-01-03 06:47:00,1464.01,CARD,Online Shopping,Mumbai,3424,1707.44,3
TX02614,C0264,2026-01-03 07:12:00,747.02,CARD,Online Shopping,Dehradun,1691,1643.44,12
TX01418,C0489,2026-01-03 07:28:00,2345.18,ATM,Travel,Dehradun,429,1812.52,4
TX02524,C0465,2026-01-03 11:20:00,798.45,UPI,Electronics,Dehradun,1439,1756.04,4
TX01944,C0080,2026-01-03 12:30:00,378.96,BANK_TRANSFER,Pharmacy,Pune,2283,986.35,5
TX01686,C0168,2026-01-03 16:51:00,1075.17,UPI,Grocery,Delhi,2872,936.62,5
TX01513,C0185,2026-01-03 17:54:00,797.54,CARD,Online Shopping,Dehradun,2308,2062.03,3
TX02562,C0102,2026-01-03 18:22:00,99.7,CARD,Pharmacy,Chandigarh,485,3389.17,7
TX02871,C0474,2026-01-03 18:58:00,1946.77,ATM,Electronics,Jaipur,2836,1663.72,8
TX02424,C0496,2026-01-03 23:35:00,1934.09,BANK_TRANSFER,Pharmacy,Jaipur,3455,1283.51,6
TX01609,C0145,2026-01-04 00:41:00,2048.95,BANK_TRANSFER,Grocery,Delhi,809,1571.04,11
TX02688,C0154,2026-01-04 00:42:00,605.74,UPI,Pharmacy,Hyderabad,2761,1193.2,11
TX02754,C0390,2026-01-04 03:23:00,1812.69,BANK_TRANSFER,Online Shopping,Delhi,984,11997.86,7
TX01492,C0034,2026-01-04 04:38:00,418.26,BANK_TRANSFER,Grocery,Jaipur,2330,1864.9,7
TX00036,C0355,2026-01-04 07:57:00,917.95,UPI,Travel,Pune,1473,1643.86,6
TX02893,C0196,2026-01-04 08:55:00,2876.11,UPI,Online Shopping,Dehradun,1849,2056.8,7
TX00233,C0217,2026-01-04 11:21:00,1022.87,CARD,Online Shopping,Bengaluru,1438,1409.34,8
TX00379,C0441,2026-01-04 13:27:00,2050.28,CARD,Pharmacy,Mumbai,220,1155.62,7
TX01721,C0082,2026-01-04 13:31:00,1132.96,UPI,Online Shopping,Mumbai,1985,1235.6,8
TX00625,C0133,2026-01-04 14:20:00,3804.76,ATM,Pharmacy,Hyderabad,448,1738.44,11
TX02381,C0154,2026-01-04 16:17:00,205.85,ATM,Electronics,Delhi,2761,1193.2,11
TX00401,C0358,2026-01-04 16:18:00,664.2,BANK_TRANSFER,Restaurant,Pune,283,3830.55,3
TX00522,C0054,2026-03-24 01:15:00,2549.53,BANK_TRANSFER,Pharmacy,Pune,3232,1051.87,5
TX02022,C0466,2026-01-04 17:54:00,226.02,CARD,Online Shopping,Bengaluru,814,1073.19,10
TX02400,C0427,2026-01-04 23:27:00,404.9,CARD,Pharmacy,Dehradun,2595,925.21,8
TX02974,C0211,2026-01-05 01:07:00,3108.35,ATM,Online Shopping,Pune,2068,2911.14,3
TX00231,C0084,2026-01-05 03:45:00,2260.6,UPI,Pharmacy,Chandigarh,3489,1242.41,10
TX02085,C0435,2026-01-05 04:00:00,2191.87,CARD,Online Shopping,Chandigarh,210,2267.54,13
TX02488,C0378,2026-01-05 04:46:00,1234.68,UPI,Pharmacy,Hyderabad,1330,1468.4,5
TX02757,C0117,2026-01-05 07:27:00,1324.06,ATM,Utilities,Delhi,3142,846.39,11
TX00912,C0391,2026-01-05 08:08:00,924.94,BANK_TRANSFER,Electronics,Mumbai,499,2513.78,7
TX02937,C0433,2026-01-05 08:17:00,292.24,ATM,Utilities,Bengaluru,2574,2868.03,3
TX02793,C0467,2026-01-05 11:28:00,997.02,CARD,Utilities,Dehradun,3205,1233.2,6
TX00056,C0474,2026-01-05 11:49:00,980.59,ATM,Grocery,Pune,2836,1663.72,8
TX00061,C0393,2026-01-05 11:59:00,1097.56,BANK_TRANSFER,Travel,Jaipur,1075,1361.5,7
TX02090,C0117,2026-01-05 20:05:00,633.8,CARD,Travel,Delhi,3142,846.39,11
TX01736,C0017,2026-01-05 22:57:00,1900.02,CARD,Grocery,Delhi,2949,1497.47,8
TX02597,C0300,2026-01-05 23:22:00,2902.3,CARD,Electronics,Dehradun,1985,4168.31,6
TX01316,C0310,2026-01-06 02:47:00,744.06,ATM,Utilities,Chandigarh,518,1491.13,8
TX00229,C0369,2026-01-06 04:11:00,6309.38,CARD,Grocery,Mumbai,367,2083.23,7
TX00507,C0034,2026-01-06 04:15:00,1675.51,UPI,Utilities,Pune,2330,1864.9,7
TX00048,C0120,2026-01-06 05:24:00,1560.16,BANK_TRANSFER,Pharmacy,Bengaluru,94,907.98,7
TX02683,C0331,2026-01-06 07:08:00,2098.48,ATM,Online Shopping,Delhi,910,892.28,4
TX02043,C0300,2026-01-06 09:12:00,376.4,CARD,Pharmacy,Chandigarh,1985,4168.31,6
TX02714,C0462,2026-01-06 10:02:00,482.21,UPI,Electronics,Delhi,3039,1988.46,6
TX01517,C0239,2026-01-06 10:15:00,509.26,UPI,Utilities,Mumbai,3334,1895.07,10
TX02908,C0042,2026-01-06 11:15:00,1096.33,BANK_TRANSFER,Grocery,Bengaluru,2777,1178.43,11
TX00988,C0218,2026-01-06 11:21:00,770.38,BANK_TRANSFER,Travel,Mumbai,1430,1809.05,6
TX01798,C0367,2026-01-06 11:56:00,4358.45,UPI,Online Shopping,Mumbai,1949,3246.92,3
TX00364,C0160,2026-01-06 13:25:00,1125.06,CARD,Pharmacy,Jaipur,1515,1445.65,10
TX00724,C0083,2026-01-06 14:12:00,1287.52,BANK_TRANSFER,Restaurant,Jaipur,1615,3398.14,3
TX02697,C0342,2026-05-04 11:57:00,1585.52,CARD,Restaurant,Mumbai,3200,1396.52,10
TX02767,C0444,2026-01-06 16:11:00,322.28,CARD,Electronics,Pune,3005,1403.58,8
TX02769,C0288,2026-01-06 16:34:00,1594.48,ATM,Restaurant,Pune,2221,1260.21,11
TX01427,C0407,2026-01-06 17:11:00,302.28,UPI,Travel,Hyderabad,2361,1570.4,9
TX00609,C0160,2026-01-06 20:25:00,1374.6,UPI,Pharmacy,Hyderabad,1515,1445.65,10
TX00687,C0371,2026-01-06 22:31:00,2051.96,ATM,Online Shopping,Bengaluru,3264,1166.57,10
TX01458,C0152,2026-01-06 23:21:00,7457.3,CARD,Grocery,Jaipur,834,2173.29,10
TX00909,C0198,2026-01-06 23:26:00,1462.08,UPI,Pharmacy,Mumbai,2759,732.62,6
TX01700,C0191,2026-01-06 23:59:00,1935.66,ATM,Travel,Pune,2602,1586.45,4
TX01690,C0059,2026-01-07 00:26:00,772.84,CARD,Electronics,Mumbai,2244,3937.48,7
TX01007,C0328,2026-01-07 01:12:00,2032.95,ATM,Utilities,Bengaluru,2423,10347.89,9
TX02254,C0234,2026-01-07 01:47:00,1026.46,ATM,Restaurant,Delhi,693,1338.22,2
TX02164,C0080,2026-01-07 04:59:00,1576.93,CARD,Travel,Pune,2283,986.35,5
TX01038,C0424,2026-01-07 07:01:00,2960.88,CARD,Online Shopping,Mumbai,2554,1705.12,7
TX02672,C0151,2026-01-07 10:12:00,1470.89,ATM,Electronics,Pune,1781,1515.67,7
TX00670,C0365,2026-01-07 10:14:00,730.27,CARD,Utilities,Mumbai,1914,2345.72,10
TX02108,C0018,2026-01-07 10:19:00,4129.61,BANK_TRANSFER,Restaurant,Jaipur,160,2575.25,2
TX00309,C0496,2026-01-07 11:12:00,894.88,ATM,Electronics,Hyderabad,3455,1283.51,6
TX01768,C0219,2026-01-07 11:57:00,459.51,CARD,Grocery,Mumbai,1336,2353.86,3
TX00881,C0089,2026-01-07 15:18:00,478.47,ATM,Travel,Delhi,1159,1032.79,7
TX01449,C0423,2026-01-07 15:28:00,1223.46,ATM,Restaurant,Chandigarh,2235,2157.5,4
TX01319,C0307,2026-01-07 15:45:00,1650.75,ATM,Travel,Hyderabad,2941,1054.88,2
TX01778,C0474,2026-01-07 17:49:00,587.42,CARD,Online Shopping,Pune,2836,1663.72,8
TX01810,C0004,2026-01-07 21:54:00,2526.05,CARD,Travel,Hyderabad,1324,1740.16,7
TX02214,C0198,2026-01-07 22:34:00,152.96,CARD,Grocery,Hyderabad,2759,732.62,6
TX02587,C0005,2026-01-08 00:57:00,292.48,UPI,Online Shopping,Jaipur,1160,1298.9,11
TX01773,C0401,2026-01-08 01:56:00,864.05,CARD,Grocery,Delhi,1829,833.86,8
TX01324,C0029,2026-01-08 02:06:00,416.6,CARD,Utilities,Pune,2354,1300.64,8
TX00601,C0388,2026-01-08 02:22:00,12670.98,CARD,Pharmacy,Jaipur,2765,4170.96,4
TX01107,C0215,2026-01-08 03:28:00,300.37,CARD,Electronics,Delhi,2267,1254.13,9
TX00243,C0403,2026-01-08 06:46:00,979.89,BANK_TRANSFER,Utilities,Mumbai,2104,1431.04,5
TX00548,C0098,2026-01-08 09:33:00,377.54,UPI,Utilities,Dehradun,1025,1626.66,8
TX01743,C0365,2026-01-08 09:51:00,2085.71,UPI,Restaurant,Jaipur,1914,2345.72,10
TX00137,C0280,2026-01-08 11:08:00,636.62,UPI,Travel,Pune,323,3181.88,4
TX01077,C0344,2026-01-08 11:12:00,2591.16,CARD,Utilities,Delhi,2893,1583.55,7
TX02797,C0130,2026-01-08 11:23:00,379.41,UPI,Restaurant,Bengaluru,2670,996.99,12
TX01343,C0312,2026-01-08 14:16:00,1431.95,UPI,Grocery,Bengaluru,1989,2241.79,7
TX02256,C0375,2026-01-08 14:34:00,1324.79,ATM,Restaurant,Hyderabad,1633,1076.41,5
TX00130,C0442,2026-01-08 15:30:00,371.69,ATM,Electronics,Dehradun,2330,13944.45,6
TX01473,C0015,2026-01-08 16:11:00,1184.48,CARD,Online Shopping,Bengaluru,3474,2507.41,6
TX00215,C0151,2026-01-08 17:24:00,1384.86,BANK_TRANSFER,Grocery,Bengaluru,1781,1515.67,7
TX02246,C0340,2026-01-08 21:44:00,942.29,UPI,Grocery,Jaipur,2086,4014.04,5
TX01394,C0497,2026-01-08 22:43:00,891.81,CARD,Pharmacy,Mumbai,863,7090.38,12
TX02726,C0347,2026-01-08 23:52:00,1427.05,UPI,Pharmacy,Dehradun,433,1182.78,5
TX01351,C0244,2026-01-08 23:58:00,105.46,ATM,Travel,Bengaluru,593,1245.03,3
TX00739,C0377,2026-01-09 02:41:00,2749.41,BANK_TRANSFER,Electronics,Jaipur,427,2592.84,4
TX01228,C0422,2026-01-09 03:16:00,1083.96,CARD,Electronics,Jaipur,1273,2112.55,11
TX01183,C0078,2026-01-09 03:45:00,1514.21,ATM,Utilities,Pune,805,1198.18,7
TX02334,C0279,2026-01-09 03:51:00,468.99,UPI,Electronics,Dehradun,796,808.66,4
TX02411,C0292,2026-01-09 08:49:00,542.83,CARD,Travel,Jaipur,216,2349.0,6
TX00998,C0171,2026-01-09 08:53:00,893.41,BANK_TRANSFER,Pharmacy,Chandigarh,1068,1817.07,3
TX01475,C0497,2026-01-09 09:19:00,3650.65,CARD,Travel,Delhi,863,7090.38,12
TX02566,C0109,2026-01-09 09:43:00,456.61,UPI,Restaurant,Dehradun,908,1198.89,5
TX00301,C0122,2026-01-09 10:16:00,520.32,BANK_TRANSFER,Utilities,Pune,1397,1231.77,8
TX02070,C0159,2026-01-09 10:24:00,4758.67,CARD,Travel,Pune,2690,4343.75,5
TX01206,C0112,2026-01-09 11:53:00,3700.58,UPI,Electronics,Bengaluru,2294,2501.72,4
TX01289,C0087,2026-04-11 15:00:00,1039.97,ATM,Grocery,Delhi,3491,974.03,6
TX00118,C0023,2026-01-09 16:48:00,1676.59,BANK_TRANSFER,Online Shopping,Jaipur,1545,1053.15,5
TX01895,C0455,2026-01-09 16:53:00,992.85,UPI,Online Shopping,Mumbai,1376,11810.65,9
TX02292,C0001,2026-01-09 19:04:00,1720.35,CARD,Pharmacy,Pune,3204,1526.54,11
TX01325,C0149,2026-01-09 20:30:00,2509.3,BANK_TRANSFER,Restaurant,Chandigarh,532,2098.03,9
TX02743,C0270,2026-01-09 22:46:00,838.22,CARD,Travel,Bengaluru,1763,1030.58,5
TX01871,C0093,2026-01-09 23:13:00,675.41,UPI,Travel,Hyderabad,2807,1845.66,6
TX02982,C0261,2026-01-09 23:33:00,2010.99,BANK_TRANSFER,Grocery,Pune,3326,1835.09,8
TX02459,C0445,2026-01-09 23:44:00,4812.82,UPI,Travel,Bengaluru,2036,1721.76,9
TX02034,C0356,2026-01-09 23:54:00,1514.19,CARD,Online Shopping,Jaipur,1475,752.22,6
TX02427,C0494,2026-01-10 01:41:00,719.75,ATM,Restaurant,Dehradun,1196,1584.52,7
TX00473,C0405,2026-01-10 01:49:00,379.63,UPI,Online Shopping,Jaipur,3378,1302.6,8
TX00075,C0237,2026-01-10 02:43:00,1269.72,ATM,Grocery,Mumbai,1661,1393.9,8
TX02143,C0379,2026-01-10 03:14:00,1309.65,ATM,Utilities,Dehradun,845,1179.34,10
TX02072,C0445,2026-01-10 07:03:00,1837.78,BANK_TRANSFER,Travel,Delhi,2036,1721.76,9
TX02809,C0099,2026-01-10 07:18:00,1243.88,ATM,Electronics,Hyderabad,2347,2043.25,6
TX01066,C0427,2026-01-10 08:39:00,1116.54,CARD,Grocery,Chandigarh,2595,925.21,8
TX02147,C0163,2026-01-10 08:42:00,945.43,BANK_TRANSFER,Online Shopping,Bengaluru,3319,1766.91,6
TX00782,C0335,2026-01-10 10:06:00,689.73,BANK_TRANSFER,Pharmacy,Jaipur,2331,900.87,7
TX00427,C0461,2026-01-10 10:12:00,2394.43,BANK_TRANSFER,Restaurant,Mumbai,1716,2901.41,7
TX01639,C0463,2026-01-10 10:59:00,1683.68,BANK_TRANSFER,Travel,Jaipur,184,1001.57,6
TX01018,C0296,2026-01-10 12:14:00,413.5,UPI,Pharmacy,Jaipur,1824,1112.11,5
TX00114,C0289,2026-01-10 12:22:00,1419.28,CARD,Utilities,Delhi,638,1001.91,11
TX00043,C0124,2026-01-10 13:55:00,651.87,CARD,Online Shopping,Chandigarh,2057,1186.53,4
TX02012,C0022,2026-01-10 14:17:00,330.2,UPI,Utilities,Hyderabad,2421,666.03,4
TX02065,C0391,2026-01-10 15:00:00,5545.41,ATM,Restaurant,Chandigarh,499,2513.78,7
TX00536,C0341,2026-01-10 16:35:00,712.16,CARD,Online Shopping,Dehradun,3334,928.37,6
TX01952,C0416,2026-01-10 17:48:00,514.61,UPI,Pharmacy,Chandigarh,576,1746.96,5
TX00914,C0456,2026-01-10 18:11:00,774.69,BANK_TRANSFER,Grocery,Dehradun,1925,16540.77,5
TX00624,C0001,2026-01-10 20:19:00,765.66,ATM,Travel,Chandigarh,3204,1526.54,11
TX02632,C0012,2026-01-10 21:01:00,5103.24,CARD,Restaurant,Delhi,360,1693.95,15
TX00051,C0092,2026-01-10 22:31:00,624.41,ATM,Grocery,Dehradun,2479,2063.22,9
TX00200,C0394,2026-01-10 23:06:00,3993.55,UPI,Utilities,Mumbai,2827,3538.42,6
TX00737,C0454,2026-01-10 23:39:00,1221.33,CARD,Electronics,Delhi,599,1396.8,7
TX02627,C0446,2026-01-11 00:20:00,124.23,CARD,Grocery,Jaipur,1214,1388.63,9
TX01461,C0188,2026-01-11 03:54:00,2028.8,ATM,Grocery,Bengaluru,3272,1295.75,7
TX00439,C0197,2026-01-11 05:33:00,4155.71,BANK_TRANSFER,Online Shopping,Pune,2655,2877.63,3
TX01462,C0301,2026-01-11 06:59:00,732.18,ATM,Electronics,Bengaluru,2480,1291.26,8
TX00253,C0367,2026-01-11 07:42:00,1781.62,CARD,Pharmacy,Bengaluru,1949,3246.92,3
TX00212,C0487,2026-01-11 09:33:00,1339.32,UPI,Pharmacy,Hyderabad,2398,1084.23,4
TX02949,C0087,2026-04-11 14:57:00,433.18,ATM,Grocery,Hyderabad,3491,974.03,6
TX01169,C0054,2026-03-24 01:21:00,571.37,ATM,Pharmacy,Jaipur,3232,1051.87,5
TX00602,C0184,2026-01-11 16:33:00,750.36,CARD,Travel,Chandigarh,3508,1412.1,4
TX02391,C0271,2026-01-11 17:09:00,734.4,CARD,Utilities,Dehradun,1469,1621.46,6
TX02655,C0149,2026-01-11 17:43:00,1061.25,BANK_TRANSFER,Grocery,Bengaluru,532,2098.03,9
TX02818,C0400,2026-01-11 17:58:00,1217.41,CARD,Travel,Bengaluru,2515,676.89,6
TX00285,C0076,2026-01-11 18:21:00,1563.11,UPI,Electronics,Dehradun,3529,1922.18,8
TX02220,C0497,2026-01-11 18:28:00,397.8,CARD,Grocery,Bengaluru,863,7090.38,12
TX01092,C0361,2026-01-11 20:01:00,828.54,CARD,Pharmacy,Mumbai,2587,1152.33,8
TX02190,C0305,2026-01-11 20:19:00,2483.7,BANK_TRANSFER,Restaurant,Bengaluru,176,2156.1,10
TX01749,C0455,2026-01-11 22:07:00,2263.91,BANK_TRANSFER,Utilities,Jaipur,1376,11810.65,9
TX01368,C0427,2026-01-12 05:03:00,1742.33,CARD,Travel,Dehradun,2595,925.21,8
TX00318,C0132,2026-01-12 06:32:00,689.28,UPI,Travel,Jaipur,1728,1769.98,5
TX01634,C0409,2026-01-12 07:01:00,3231.21,UPI,Utilities,Delhi,989,1236.1,7
TX01034,C0319,2026-06-22 20:34:00,955.32,BANK_TRANSFER,Grocery,Bengaluru,2550,958.7,8
TX02703,C0239,2026-01-12 07:35:00,1288.04,BANK_TRANSFER,Utilities,Dehradun,3334,1895.07,10
TX00037,C0311,2026-01-12 07:57:00,828.21,CARD,Utilities,Mumbai,3006,1063.84,9
TX01284,C0165,2026-01-12 08:20:00,2980.51,ATM,Travel,Delhi,2844,1817.26,6
TX00290,C0401,2026-01-12 09:06:00,414.96,ATM,Electronics,Delhi,1829,833.86,8
TX02373,C0282,2026-01-12 09:09:00,2391.05,BANK_TRANSFER,Grocery,Pune,2961,1438.36,10
TX02795,C0266,2026-01-12 09:24:00,32814.69,UPI,Restaurant,Mumbai,1106,6751.67,6
TX01728,C0295,2026-01-12 09:55:00,295.24,BANK_TRANSFER,Travel,Mumbai,3450,1102.06,5
TX02626,C0106,2026-01-12 12:32:00,603.55,CARD,Grocery,Bengaluru,2373,880.73,6
TX00545,C0226,2026-01-12 13:18:00,718.83,UPI,Pharmacy,Bengaluru,739,1273.47,10
TX00542,C0422,2026-01-12 13:38:00,643.92,UPI,Travel,Delhi,1273,2112.55,11
TX01501,C0227,2026-01-12 15:14:00,333.33,CARD,Electronics,Pune,1509,8868.64,10
TX02318,C0159,2026-01-12 19:44:00,1694.78,CARD,Pharmacy,Chandigarh,2690,4343.75,5
TX02729,C0466,2026-05-18 00:22:00,1016.41,BANK_TRANSFER,Online Shopping,Bengaluru,814,1073.19,10
TX01184,C0288,2026-01-12 22:36:00,1067.28,BANK_TRANSFER,Pharmacy,Dehradun,2221,1260.21,11
TX00426,C0212,2026-01-12 23:52:00,690.38,UPI,Electronics,Hyderabad,3449,1160.43,3
TX00192,C0075,2026-01-13 00:38:00,316.74,CARD,Grocery,Dehradun,1508,1241.18,6
TX02046,C0402,2026-01-13 00:56:00,577.97,BANK_TRANSFER,Pharmacy,Bengaluru,3384,1417.77,5
TX00725,C0042,2026-01-13 01:28:00,870.21,BANK_TRANSFER,Restaurant,Pune,2777,1178.43,11
TX02774,C0031,2026-01-13 01:46:00,477.19,ATM,Electronics,Chandigarh,489,1372.88,3
TX00297,C0170,2026-01-13 02:36:00,3554.66,UPI,Online Shopping,Hyderabad,236,4991.01,7
TX00971,C0299,2026-01-13 03:11:00,1312.01,BANK_TRANSFER,Online Shopping,Bengaluru,3032,1365.48,2
TX01233,C0053,2026-01-13 03:37:00,501.37,UPI,Electronics,Delhi,1558,2450.53,6
TX02883,C0497,2026-01-13 05:14:00,1296.28,CARD,Travel,Chandigarh,863,7090.38,12
TX02635,C0396,2026-01-13 05:53:00,1015.94,ATM,Pharmacy,Bengaluru,2115,1350.36,7
TX01832,C0382,2026-01-13 07:49:00,773.74,BANK_TRANSFER,Pharmacy,Dehradun,1445,2240.04,6
TX02253,C0434,2026-01-13 09:29:00,4306.59,CARD,Online Shopping,Bengaluru,331,1513.95,4
TX02068,C0350,2026-01-13 09:30:00,405.26,ATM,Grocery,Dehradun,3221,889.42,8
TX02173,C0276,2026-01-13 10:28:00,487.27,UPI,Electronics,Bengaluru,3285,723.73,3
TX00651,C0292,2026-01-13 14:01:00,1487.83,BANK_TRANSFER,Online Shopping,Jaipur,216,2349.0,6
TX01794,C0029,2026-01-13 15:36:00,1444.47,BANK_TRANSFER,Pharmacy,Pune,2354,1300.64,8
TX02044,C0082,2026-01-13 16:54:00,738.41,UPI,Electronics,Jaipur,1985,1235.6,8
TX02545,C0085,2026-01-13 18:59:00,1809.68,BANK_TRANSFER,Restaurant,Dehradun,3103,1118.01,4
TX00822,C0013,2026-01-13 20:38:00,1164.51,BANK_TRANSFER,Utilities,Chandigarh,1512,1631.17,5
TX02872,C0242,2026-01-13 20:44:00,3778.54,CARD,Pharmacy,Pune,1550,1072.68,9
TX00537,C0398,2026-01-17 20:49:00,1265.85,CARD,Restaurant,Mumbai,3466,1422.34,4
TX01118,C0477,2026-01-13 21:41:00,316.21,CARD,Utilities,Dehradun,1871,2005.42,8
TX01360,C0450,2026-01-13 23:15:00,865.83,CARD,Travel,Bengaluru,2095,8258.79,12
TX00322,C0415,2026-01-13 23:37:00,1162.72,CARD,Pharmacy,Jaipur,3617,1517.92,5
TX00699,C0086,2026-01-14 00:38:00,1883.26,UPI,Grocery,Delhi,1051,1276.73,7
TX00825,C0084,2026-01-14 00:58:00,435.58,ATM,Travel,Bengaluru,3489,1242.41,10
TX02187,C0485,2026-01-14 03:05:00,890.65,BANK_TRANSFER,Utilities,Pune,714,3141.51,10
TX00443,C0010,2026-01-14 04:57:00,2221.91,BANK_TRANSFER,Online Shopping,Jaipur,496,12015.85,7
TX02586,C0444,2026-01-14 04:58:00,1929.97,UPI,Utilities,Hyderabad,3005,1403.58,8
TX01506,C0029,2026-01-14 05:11:00,1733.72,CARD,Utilities,Delhi,2354,1300.64,8
TX00044,C0106,2026-01-14 07:05:00,453.83,CARD,Online Shopping,Chandigarh,2373,880.73,6
TX00798,C0113,2026-01-14 08:13:00,7871.91,UPI,Travel,Chandigarh,793,2407.68,6
TX00405,C0373,2026-01-14 12:47:00,1663.7,CARD,Online Shopping,Chandigarh,1734,3597.1,7
TX00857,C0406,2026-01-14 13:05:00,896.59,BANK_TRANSFER,Grocery,Pune,827,900.82,7
TX02213,C0035,2026-01-14 17:24:00,239.85,CARD,Utilities,Jaipur,777,1287.79,5
TX01137,C0132,2026-01-14 17:25:00,2425.51,CARD,Travel,Delhi,1728,1769.98,5
TX00088,C0076,2026-01-14 18:37:00,848.78,BANK_TRANSFER,Travel,Dehradun,3529,1922.18,8
TX00181,C0410,2026-01-14 18:50:00,3512.53,BANK_TRANSFER,Pharmacy,Pune,1534,1293.19,6
TX01967,C0194,2026-01-14 20:00:00,206.33,ATM,Utilities,Bengaluru,3344,1728.11,4
TX01907,C0117,2026-01-14 20:43:00,442.04,UPI,Pharmacy,Dehradun,3142,846.39,11
